family,model,experiment,val_macro_f1,test_macro_f1,test_accuracy,median_latency_ms,params,checkpoint
Pretrained Deep,vit_base_patch16_224,full_finetune_5ep_lr1e-4,0.9049215244431599,0.9219482909938915,0.9263157894736842,5.227719957474619,85803270,output/deep/pretrained_core_lr1e4_5ep/runs/vit_base_patch16_224/full_finetune/checkpoint_best.pt
Pretrained Deep,swin_tiny_patch4_window7_224,full_finetune_5ep_lr1e-4,0.902976316795689,0.9474631765336633,0.9473684210526315,9.97693301178515,27523968,output/deep/pretrained_core_lr1e4_5ep/runs/swin_tiny_patch4_window7_224/full_finetune/checkpoint_best.pt
Pretrained Deep,convnext_tiny,full_finetune_5ep_lr1e-4,0.8928581942464765,0.9191373769982429,0.9315789473684211,6.197439506649971,27824742,output/deep/pretrained_core_lr1e4_5ep/runs/convnext_tiny/full_finetune/checkpoint_best.pt
Pretrained Deep,efficientnetv2_s,full_finetune_5ep_lr1e-4,0.7857223185483497,0.782394486295852,0.7894736842105263,16.876332461833954,20185174,output/deep/pretrained_core_lr1e4_5ep/runs/efficientnetv2_s/full_finetune/checkpoint_best.pt
Classical ML,Gradient Boosting,HOG+HSV,0.7847,0.7833,0.7895,7.48,,output/best_model.joblib
Classical ML,Random Forest,HOG+HSV,0.7323,,,,,
Custom CNN,custom_cnn_scratch,scratch_light_weighted_loss_70ep_ls0.05,0.7196765587630898,0.6960880129163572,0.7289473684210527,1.9564555259421468,4319862,output/deep/custom_cnn_scratch_light_ls_70ep/runs/custom_cnn_scratch/scratch_light_weighted_loss/checkpoint_best.pt
Classical ML,RBF SVM,HOG+HSV,0.706,,,,,
Custom CNN,custom_cnn_scratch,scratch_light_weighted_loss_35ep,0.6672124614089682,0.6026254185614451,0.6342105263157894,1.9768124911934137,4319862,output/deep/custom_cnn_scratch_35ep/runs/custom_cnn_scratch/scratch_light_weighted_loss/checkpoint_best.pt
Classical ML,Logistic Regression,HOG+HSV,0.634,,,,,
Pretrained Deep,convnext_tiny,head_only_5ep_lr1e-4,0.6336031915283765,0.6247245262945165,0.6710526315789473,5.663152027409524,27824742,output/deep/pretrained_core_lr1e4_5ep/runs/convnext_tiny/head_only/checkpoint_best.pt
Pretrained Deep,swin_tiny_patch4_window7_224,head_only_5ep_lr1e-4,0.590331543317914,0.6251667755897421,0.6552631578947369,9.46428650058806,27523968,output/deep/pretrained_core_lr1e4_5ep/runs/swin_tiny_patch4_window7_224/head_only/checkpoint_best.pt
Pretrained Deep,vit_base_patch16_224,head_only_5ep_lr1e-4,0.5829869312317517,0.64226294923799,0.6710526315789473,5.186822440009564,85803270,output/deep/pretrained_core_lr1e4_5ep/runs/vit_base_patch16_224/head_only/checkpoint_best.pt
Classical ML,Linear SVM,HOG+HSV,0.5707,,,,,
Custom CNN,custom_cnn_scratch,scratch_strong_weighted_loss_35ep,0.5655657502215271,0.5103960080846234,0.5394736842105263,2.010870026424527,4319862,output/deep/custom_cnn_scratch_35ep/runs/custom_cnn_scratch/scratch_strong_weighted_loss/checkpoint_best.pt
Custom CNN,custom_cnn_scratch,scratch_strong_weighted_sampler_35ep,0.5205833873667679,0.4760950406062108,0.5105263157894737,2.640156482812017,4319862,output/deep/custom_cnn_scratch_35ep/runs/custom_cnn_scratch/scratch_strong_weighted_sampler/checkpoint_best.pt
Pretrained Deep,efficientnetv2_s,head_only_5ep_lr1e-4,0.1434626986863245,0.16375888706056124,0.17105263157894737,15.79801901243627,20185174,output/deep/pretrained_core_lr1e4_5ep/runs/efficientnetv2_s/head_only/checkpoint_best.pt
